sku,marca,nome_produto,categoria,peso_kg,comprimento,largura,altura,estoque_erp,status_produto
SKU-00229,Arno,Cabo Lightning Reforçado,Celulares e Acessórios,7.0,43.1,11.6,5.1,50.0,Ativo
SKU-00230,Black+Decker,SSD NVMe 1TB,Informática,20.36,41.4,34.2,8.9,0.0,Ativo
SKU-00231,NKS,Processador 600W 2 Velocidades,Cozinha,0.0,46.1,42.7,18.8,351.0,Ativo
SKU-00232,HyperX,Headset Gamer 7.1,Informática,37.01,,,,495.0,Ativo
SKU-00233,,Cadence Serra de Mesa 1800W,Ferramentas,28.57,107.0,77.4,52.3,108.0,Ativo
SKU-00234,HP,Freezer Horizontal 305L,Eletrodomésticos,0.33,66.8,76.0,19.7,64.0,Ativo
SKU-00235,Elgin,Elgin Receptor Digital HD,Eletrônicos,6.5,75.9,24.0,8.6,391.0,Inativo
SKU-00236,Mallory,Depurador de Ar 60cm,Eletrodomésticos,24.78,12.7,12.4,44.1,168.0,Descontinuado
SKU-00237,Tramontina,Tramontina Soundbar 2.1 120W,Eletrônicos,27.92,41.5,38.8,37.7,74.0,Ativo
SKU-00238,Stanley,Stanley Solda Inversora 140A,Ferramentas,7.67,95.4,58.4,39.2,56.0,Inativo
SKU-00239,Fortrek,Plaina Elétrica 620W,Ferramentas,16.21,68.4,18.2,37.2,404.0,Ativo
SKU-00240,Carrier,Carrier Furadeira de Bancada 350W,Ferramentas,,,,,64.0,Inativo
SKU-00241,NKS,NKS Lavadora de Roupas 11kg,Eletrodomésticos,1.75,107.8,45.5,39.9,0.0,Ativo
SKU-00242,Makita,Makita Aparador de Entrada 90cm,Decoração,22.6,46.8,5.8,15.9,113.0,Inativo
SKU-00243,Genius,Genius Depurador de Ar 80cm,Cozinha,7.25,70.1,70.4,10.5,154.0,Ativo
SKU-00244,Targus,"Targus Smart TV 43"" Full HD",Eletrônicos,11.97,81.9,43.8,47.9,245.0,Ativo
SKU-00245,Elgin,"Elgin Smart TV LED 40""",TV e Áudio,31.7,100.4,67.6,17.3,227.0,Ativo
SKU-00246,NKS,NKS Cabo Lightning Reforçado,Celulares e Acessórios,37.61,48.3,73.0,31.9,311.0,Inativo
SKU-00247,Ventisol,Switch 8 Portas Gigabit,Eletrônicos,0.0,55.6,22.2,31.8,280.0,Ativo
SKU-00248,LG,LG Lixadeira Orbital 240W,Ferramentas,18.72,18.0,55.6,29.8,258.0,Ativo
SKU-00249,Lenovo,Lenovo Smartphone 128GB 6GB RAM,Ferramentas,7.33,9.5,47.9,5.2,449.0,Inativo
SKU-00250,Fischer,Fischer Ventilador de Teto 4 Pás com Luminária,Climatização,39.55,99.4,76.0,14.6,116.0,Descontinuado
SKU-00251,Intelbras,Intelbras Soundbar 2.0 80W,Utilidades Domésticas,35.78,25.9,54.5,17.3,218.0,Ativo
SKU-00252,Asus,Asus Extensor HDMI 30m,TV e Áudio,6.04,,,,242.0,Inativo
SKU-00253,HP,HP Climatizador de Ar 70L,Climatização,8.07,74.0,70.8,32.8,381.0,Ativo
SKU-00254,Ventisol,Ventisol Matrix HDMI 4x2,TV e Áudio,0.15,83.0,37.4,26.4,168.0,Ativo
SKU-00255,Fortrek,Fortrek Umidificador Ultrassônico 3L,Climatização,17.22,90.3,62.1,42.4,468.0,
SKU-00256,Philips,Balde com Espremedor 12L,Utilidades Domésticas,39.47,26.7,58.2,47.8,259.0,Ativo
SKU-00257,Acer,Acer Ar Condicionado Split 9000 BTUs,Climatização,14.28,22.8,53.9,16.7,432.0,Ativo
SKU-00258,Sony,Sony Panela Elétrica Multifuncional 5L,Cozinha,18.65,60.5,32.8,34.2,219.0,Descontinuado
SKU-00259,Sony,Panela Elétrica Multifuncional 5L,Cozinha,38.49,91.0,38.5,42.6,285.0,Ativo
SKU-00260,,Ventilador de Teto 4 Pás com Luminária,Climatização,30.84,,,,14.0,Descontinuado
SKU-00261,Fortrek,Processador de Alimentos 800W,Eletrodomésticos,19.65,,,,3.0,Ativo
SKU-00262,Sony,Batedeira 400W 8 Velocidades,Cozinha,23.49,73.7,75.9,49.6,35.0,Ativo
SKU-00263,Oster,Ventilador de Coluna 50cm,Eletrodomésticos,1.61,64.3,22.4,11.8,271.0,Ativo
SKU-00264,Bosch,Bosch Ventilador de Mesa 40cm,Eletrodomésticos,15.96,72.4,43.8,44.7,159.0,Inativo
SKU-00265,Mallory,Ventilador de Coluna 50cm,Climatização,15.73,36.8,50.5,13.3,26.0,Ativo
SKU-00266,Genius,Genius Purificador de Água Compacto,Eletrodomésticos,95.98,113.9,65.2,57.5,139.0,Ativo
SKU-00267,Panasonic,Panasonic Sanduicheira Waffle,Cozinha,34.67,115.5,39.4,28.7,110.0,Inativo
SKU-00268,Panasonic,"Panasonic Smart TV LED 50""",TV e Áudio,44.74,223.7,189.0,85.6,347.0,Ativo
SKU-00269,Sony,Sony Jogo de Talheres 24 Peças Inox,Utilidades Domésticas,36.97,,,,306.0,
SKU-00270,Fischer,Fischer Fechadura Digital Biométrica,Eletrônicos,42.63,109.6,42.4,13.6,392.0,Ativo
SKU-00271,Tramontina,Tramontina Jogo de Pratos 6 Peças,Utilidades Domésticas,16.09,18.8,10.9,57.4,61.0,Ativo
SKU-00272,Brastemp,Ar Condicionado Split 12000 BTUs,Climatização,22.21,108.2,70.2,30.5,272.0,Inativo
SKU-00273,Fischer,Fischer Tábua de Passar Compacta,Utilidades Domésticas,89.07,113.1,7.4,22.1,203.0,Ativo
SKU-00274,Oster,Nível a Laser 10m,Ferramentas,31.05,,,,160.0,Ativo
SKU-00275,Black+Decker,Black+Decker Caixa de Som Bluetooth 20W,Informática,11.9,115.2,30.7,12.7,58.0,Ativo
SKU-00276,Bosch,,Eletrônicos,25.76,83.9,66.1,43.8,0.0,Ativo
SKU-00277,HP,HP Bastão de Selfie Bluetooth,Celulares e Acessórios,0.54,20.5,72.0,38.6,432.0,Ativo
SKU-00278,Fischer,Fischer Home Theater 5.1 Canais,Climatização,0.0,23.8,21.2,16.7,202.0,Ativo
SKU-00279,Brastemp,Brastemp Microfone Condensador USB,TV e Áudio,25.13,44.6,35.9,22.4,261.0,Descontinuado
SKU-00280,Elgin,Elgin Capa de Almofada Geométrica,Decoração,44.07,42.4,43.3,46.9,372.0,Inativo
SKU-00281,Carrier,Carrier Carregador Veicular 2 Portas,Celulares e Acessórios,39.08,111.8,36.6,37.5,131.0,Inativo
SKU-00282,Asus,"Asus Monitor LED 21,5"" Full HD",Informática,29.42,74.6,34.7,53.5,90.0,Inativo
SKU-00283,HyperX,HyperX Adaptador Bluetooth 5.0,Eletrônicos,8.36,,,,296.0,
SKU-00284,Philips,Potes Herméticos 3 Peças,Utilidades Domésticas,17.93,112.7,40.5,5.1,497.0,Ativo
SKU-00285,HP,"HP Monitor LED 24"" Full HD",Informática,,49.8,22.2,44.8,155.0,Ativo
SKU-00286,Philco,Serra Mármore 1400W,Ferramentas,0.0,110.3,69.8,29.1,259.0,Ativo
SKU-00287,Cadence,Cadence Saco Aspirador de Pó 3 Unidades,Cozinha,26.93,78.1,47.3,32.4,425.0,Ativo
SKU-00288,Philips,Philips Switch 8 Portas Gigabit,Eletrônicos,16.52,39.9,5.0,49.3,304.0,Ativo
SKU-00289,Targus,Targus Balde com Espremedor 12L,Utilidades Domésticas,21.52,,,,21.0,Inativo
SKU-00290,Mallory,Sanduicheira Grill 750W,Cozinha,18.59,50.4,17.2,44.8,256.0,Inativo
SKU-00291,Carrier,Carrier Almofada Decorativa 45x45cm,Cozinha,34.43,97.9,56.3,18.5,52.0,Ativo
SKU-00292,Arno,"Arno Varal de Chão 1,60m",Utilidades Domésticas,13.1,76.0,25.4,38.1,88.0,Ativo
SKU-00293,Philco,Parafusadeira 12V com Bateria,Ferramentas,4.69,87.2,59.5,15.5,312.0,Ativo
SKU-00294,Targus,"Targus Tapete Sala 2,00x1,50m",Decoração,20.92,43.0,68.3,57.2,396.0,Ativo
SKU-00295,Multilaser,Multilaser Capa Protetora Silicone,Celulares e Acessórios,37.89,100.2,14.1,46.6,323.0,Ativo
SKU-00296,Britânia,Caixa de Som Portátil 30W,TV e Áudio,33.12,81.6,20.6,24.6,145.0,Ativo
SKU-00297,Britânia,Britânia Home Theater 5.1 1000W,Eletrônicos,24.78,60.3,27.4,22.9,76.0,Inativo
SKU-00298,Logitech,Logitech Espelho Decorativo Redondo 60cm,Decoração,7.61,18.8,64.2,2.5,495.0,Ativo
SKU-00299,Brastemp,Brastemp Amplificador de Fone de Ouvido,TV e Áudio,11.27,83.9,30.4,58.2,158.0,Ativo
SKU-00300,Cadence,Cadence Torradeira 2 Fatias 800W,Eletrodomésticos,5.75,117.9,64.1,45.9,359.0,Inativo
